key,value
.GA,No PORT Code (.GA)
060,No PORT Code (60)
48Y,"PINECREEK BORDER ARPT, MN"
5KE,"KETCHIKAN, AK"
5T6,No PORT Code (5T6)
74S,No PORT Code (74S)
888,UNIDENTIFED AIR / SEAPORT
A2A,No PORT Code (A2A)
ABE,"ABERDEEN, WA"
ABG,"ALBURG, VT"
ABQ,"ALBUQUERQUE, NM"
ABS,"ALBURG SPRINGS, VT"
ACY,"POMONA FIELD - ATLANTIC CITY, NJ"
ADS,"ADDISON AIRPORT- ADDISON, TX"
ADT,"AMISTAD DAM, TX"
ADU,No PORT Code (ADU)
ADW,"ANDREWS AFB, MD"
AFW,"FORT WORTH ALLIANCE, TX"
AG,No PORT Code (AG)
AG0,"MAGNOLIA, AR"
AGA,"AGANA, GU"
AGM,"ALGOMA, WI"
AGN,"ALGONAC, MI"
AGS,"BUSH FIELD - AUGUSTA, GA"
AGU,"AGUADILLA, PR"
AKR,"AKRON, OH"
AKT,No PORT Code (AKT)
ALA,"ALAMAGORDO, NM (BPS)"
ALB,"ALBANY, NY"
ALC,"ALCAN, AK"
ALP,"ALPENA, MI"
AMB,"AMBROSE, ND"
AMS,"AMSTERDAM-SCHIPHOL, NETHERLANDS"
AMT,No PORT Code (AMT)
ANA,"ANACORTES, WA"
ANC,"ANCHORAGE, AK"
AND,"ANDRADE, CA"
ANP,"ANTELOPE WELLS, NM"
ANT,"ANTLER, ND"
ANZ,"ANZALDUAS, TX"
APA,"ARAPAHOE COUNTY, CO"
APF,"NAPLES, FL #ARPT"
ARB,"ARUBA, NETH ANTILLES"
ASE,"ASPEN, CO #ARPT"
ASI,No PORT Code (ASI)
AST,"ASTORIA, OR"
ATB,"ASHTABULA, OH"
ATL,"ATLANTA, GA"
ATW,No PORT Code (ATW)
AUH,No PORT Code (AUH)
AUS,"AUSTIN, TX"
AXB,"ALEXANDRIA BAY, NY"
BAL,"BALTIMORE, MD"
BAN,"BANKOK, THAILAND"
BAR,"BAKER AAF - BAKER ISLAND, AK"
BAU,"BAUDETTE, MN"
BAY,"BAYFIELD, WI"
BBP,"BIG BEND PARK, TX (BPS)"
BCK,"BUCKPORT, ME"
BCM,No PORT Code (BCM)
BCY,"BAY CITY, MI"
BDA,"KINDLEY FIELD, BERMUDA"
