airline,count
,1308066
*FF,952
*GA,102156
*UU,342
001,6
006,26
009,101
00F,1
00I,2
00K,1
00X,8
012,1
017,8
018,26
01B,1
020,1
026,152
027,2
029,31
02Z,2
031,11
039,3
04K,3
05,5
050,1
05I,1
05J,2
06S,16
072,3
078,2
0AF,30
0AX,6
0AZ,30
0B0,1
0B8,248
0BA,190
0BD,1
0CC,1
0CL,11
0DF,4
0DP,16
0FF,28
0FR,105
0FT,15
0FV,10
0FY,530
0GJ,6
0HC,172
0J,20
0L7,38
0MT,2
0MY,1
0N3,1
0NC,2
0O,3
0PX,4
0RZ,1
0SC,1
0SG,230
0TG,1
0UE,29
0UM,8
0WD,8
0ZD,17
1,5
10,1
100,22
107,8
108,1
10A,38
10F,1
10H,3
11,4
111,2
113,3
115,1
11C,3
12,2
12L,62
13,2
132,10
134,212
136,1
137,1
13R,1
13U,2
14,1
142,66
145,7
14M,39
15,2
150,1
152,1
156,1
15D,1
16,9
162,1
166,1
169,1
17,4
170,1
172,2
173,1
17C,3
18,6
18A,5
19,1
190,1
192,2
195,1
197,4
199,6
1B,7
1BQ,3
1CC,2
1CX,21
1H,2
1KL,10
1KS,13
1MG,1
2,13
20,10
200,1
201,1
203,1
20Y,1
21,3
211,1
214,1
222,33
224,2
227,33
239,46
23P,1
24,3
240,1
246,3
250,8
251,1
259,1
26,5
260,14
267,5
27,1
270,1
278,62
27A,110
27C,1
28,5
280,21
28P,1
29,7
290,1
293,2
298,2
299,1
29L,4
29U,2
2B,21
2D,55945
2E,6
2F,3
2K,4
2L,1
2P,1184
2Q,1
2S,1
2U,10
2V,18577
3,7
30,4
301,2
31,4
310,10
311,3
315,1
32,1
324,8
325,12
34,2
340,4
348,15
34D,244
34U,1
35,2
350,2
351,1
357,1
35L,8
35T,1
35U,16
360,2504
364,2
365,471
366,56
368,2
37,21
372,2
373,6
377,2
379,1
38,3
383,3
3C,6
3L,5
3M,9814
3P,1
3R,6
3S,198
3U,113684
3V,193
3W,1
3X,1
4,1
40,75
402,3
404,2
407,1
408,2
41C,57
420,1
429,6
437,2
43E,26
43Z,2
440,1
447,1
450,1
459,14
468,90
47,1
473,1
477,2
480,13
481,6
482,1
48S,2
497,1
49B,39
4A,5
4E,1
4M,64264
4N,414
4O,334489
4T,1
500,1
507,1
50I,8
512,14
513,12
516,36
52,7
524,37
52N,21
530,1
534,4
537,1057
53B,26
53D,34
545,41
549,112
55,1
552,69
554,1
55A,4
55M,9
55S,20
55X,14
565,4
568,9
56A,29
56J,49
57,2
576,3
577,5
579,4
585,3
589,26
596,27
599,1
5B,1
5C,34
5D,15
5J,7251
5K,18
5M,5
5S,1
5T,10
5W,1
5X,38
5Y,3080
6,1
60,4
600,1
605,17
608,3
61,3
610,16
612,1
614,4
62,8
625,7
62A,6
63,1
630,1
635,36
64,4
641,8
647,6
648,12
64B,7
65,1
651,9
655,2
658,5
66,6
661,41
663,10
664,32
672,3
684,3
685,1
686,1
692,49
693,2
698,12
69P,2
6C,2
6K,152
6R,237
6X,1
7,19
71,2
710,6
72,3
721,2
73,8
731,2
734,5
737,1
738,3
742,21
743,101
74G,3
74O,1
754,15
759,59
76,3
763,1
765,22
76C,3
77,1
777,6
77H,2
77T,1
784,45
788,1
789,34
78B,5
796,12
79A,1
7A,108
7B,3
7C,270471
7D,7
7E,1
7F,3
7G,1
7I,33467
7J,5
7L,2
7N,6269
7Q,39
7U,2
7V,39
7Z,44
80,5
801,16
802,1
803,84
81,1
810,2
813,15
815,3
82,3
820,4
825,4
827,8
82A,1
830,1
832,1
834,12
83J,43
840,9
843,15
848,13
850,81
855,24
858,3
85F,2
85J,1506
85W,4
86,3
864,2
86T,4
87,7
874,7
87C,1
87S,1
881,10
887,89
88I,24
899,90
8A,2
8C,21
8I,8531
8P,1
8V,2
9,6
90,1
908,1
909,2
90M,19
913,6
916,2
919,4
91G,1
920,5
922,10
923,3
926,4
929,1
93,1
930,1
931,1
932,1
935,2
936,18
938,1
94,1
941,13
945,1
947,9
94L,5
95,1
952,2
959,29
95H,72
962,1
963,1
969,15
97,1
974,1
97R,20
986,17
98H,6
98J,93
99,14
998,5
999,4
9E,28716
9H,5
9K,3477
9M,239
9N,2
9V,64011
9W,7191
9X,1
A0,14
A0D,1
A1B,3
A2,30
A3R,1
A4,1
A4M,2
A6I,1
A7,19
A9S,1
A9V,1
AA,4096786
AAR,2
AB,348154
ABL,2
ABP,21
ABW,3
AC,227477
AD,150218
ADB,6
AEK,3
AF,845180
AG,5
AGF,118
AH,6
AI,120388
AJ,1
AK,4
AL,27
AM,873868
AN,9
AO,7
AOJ,50
AQ,1
AR,229182
ARN,93
ARU,45836
AS,42773
AT,25798
ATN,15
AU,84
AV,720341
AVI,15
AVM,46
AX,5379
AY,92613
AZ,223971
AZG,5
B01,9
B04,2
B0A,4
B0E,69
B1,1
B10,2
B1J,115
B1M,13
B2H,2
B2V,30
B3,2
B3D,98
B3F,2
B50,3
B55,1
B57,3
B5A,3
B6,736859
B7,1
B73,2
BA,2192720
BB,13122
BC,2
BE,13
BF,1
BG,2
BH,5
BI,6
BK,3
BL,8
BM,4
BN,5
BO,26
BOL,23
BOV,35
BR,279449
BS,11
BSK,57
BT,1
BTZ,16
BU,7
BV,176
BVI,61
BVR,16
BW,153669
BX,32173
BY,6
BZ,7
C0,1
C0A,5
C0B,29
C1,1
C1A,2
C2F,1
C2H,1
C3I,3
C3T,1
C4T,4
C5Q,3
C5X,17
C6,4
C7,62
C8,11
C8K,30
C9B,119
C9T,7
CA,406037
CB,13
CBB,1
CC,67
CCI,1
CD,1
CE,5
CES,6
CEY,19
CF,1
CFG,5
CH,31
CHP,1
CI,252872
CK,5
CL,40
CM,677399
CN,6
CNK,4
CO,16
CP,41518
CR,1
CRU,5
CS,4
CSN,1
CSQ,248
CT,12
CU,12
CV,430
CVK,9
CX,455312
CXN,1
CY,1
CZ,208296
D0,25
D0S,33
D2,547
D2U,12
D2V,24
D3S,2
D4U,7
D4Z,2
D5,149
D6A,463
D6S,4
D7,1
D8,11
D9,2
D9E,1
DA,29
DB,31
DC,17
DCM,1
DCS,33
DD,2
DE,72894
DF,2
DG,1
DH,10
DI,23
DJ,7
DJT,13570
DK,74
DL,3254913
DLI,1
DM,1
DO,11
DP,1
DPJ,60
DQ,234
DR,17
DS,2
DT,10
DU,9
DV,1
DW,52
DX,3
DY,458231
DYA,31
DZ,29
E0,5
E1F,6
E1Q,13
E1U,1
E2M,2
E6R,1
E7,2
E7E,1
E8D,81
E8E,1
E9,20
EA,15776
EAC,58
EB,17
EC,9
EE,13
EEU,2
EF,1
EGY,3
EI,320784
EJ,1
EJA,1
EK,640087
EL,15
EM,2
EQ,40583
ER,1
ESF,202
ET,38083
EU,175
EV,34991
EVA,6
EW,16700
EX,8
EY,260534
EYE,2
F0A,2
F0D,18
F0S,1
F4,5
F6P,11
F7C,1
F7K,10
F8W,37
F8Z,1
F9,8034
F9M,1
F9Q,4
F9T,4
FA,5
FB,1
FC,26984
FD,2
FE,6
FF,9
FG,1
FI,167455
FJ,26111
FJS,3
FL,33
FLE,6
FM,3
FO,4
FR,4
FRS,1
FT,2
FU,1
FX,5
FYG,63
FYL,14
G0E,3
G0J,4
G0M,9
G1A,42
G1B,6
G2B,1
G3,3944
G4,35
G4D,233
G4G,2
G5,2
G5A,52
G5J,250
G5Q,24
G6B,165
G6Z,2
G7,6628
G7C,2
G8J,24
G8L,95
G8T,13
G9K,2
GA,39
GAA,2
GB,1
GF,1
GFT,1
GH,2
GI,1
