arrdate,count
20454.0,83984
20455.0,75646
20456.0,79959
20457.0,89325
20458.0,85650
20459.0,84420
20460.0,93107
20461.0,93818
20462.0,101576
20463.0,106167
20464.0,99145
20465.0,84688
20466.0,85486
20467.0,92151
20468.0,95030
20469.0,107911
20470.0,110195
20471.0,108063
20472.0,85322
20473.0,90017
20474.0,93107
20475.0,93779
20476.0,83658
20477.0,97471
20478.0,100611
20479.0,79057
20480.0,79898
20481.0,86300
20482.0,88187
20483.0,100130
20484.0,94066
20485.0,91961
20486.0,76452
20487.0,84123
20488.0,99169
20489.0,107072
20490.0,114292
20491.0,98497
20492.0,91880
20493.0,75008
20494.0,84583
20495.0,91642
20496.0,99711
20497.0,105536
20498.0,92379
20499.0,92812
20500.0,72838
20501.0,78243
20502.0,83633
20503.0,87697
20504.0,94507
20505.0,90378
20506.0,84822
20507.0,66142
20508.0,72037
20509.0,83389
20510.0,88315
20511.0,90005
20512.0,91852
20513.0,81568
20514.0,78177
20515.0,78800
20516.0,88662
20517.0,94175
20518.0,96061
20519.0,94361
20520.0,84860
20521.0,68741
20522.0,78573
20523.0,95019
20524.0,96936
20525.0,105327
20526.0,104231
20527.0,94237
20528.0,90854
20529.0,106045
20530.0,120415
20531.0,129036
20532.0,133723
20533.0,122413
20534.0,115253
20535.0,105398
20536.0,121326
20537.0,134669
20538.0,134074
20539.0,102800
20540.0,94115
20541.0,98508
20542.0,98656
20543.0,91842
20544.0,99785
20545.0,108407
20546.0,103196
20547.0,99972
20548.0,97653
20549.0,91514
20550.0,88273
20551.0,99763
20552.0,103660
20553.0,105930
20554.0,104394
20555.0,98737
20556.0,85600
20557.0,91173
20558.0,107557
20559.0,114803
20560.0,114970
20561.0,106474
20562.0,100493
20563.0,86068
20564.0,95428
20565.0,105454
20566.0,110304
20567.0,112883
20568.0,100203
20569.0,99652
20570.0,88100
20571.0,99259
20572.0,120971
20573.0,128267
20574.0,127155
20575.0,115712
20576.0,112792
20577.0,104118
20578.0,110154
20579.0,132178
20580.0,115756
20581.0,111689
20582.0,109038
