biryear,count
,9517
204.0,2
1900.0,9
1901.0,5
1902.0,4
1903.0,8
1904.0,10
1905.0,10
1906.0,11
1907.0,15
1908.0,16
1909.0,12
1910.0,19
1911.0,108
1912.0,92
1913.0,65
1914.0,77
1915.0,86
1916.0,185
1917.0,186
1918.0,253
1919.0,605
1920.0,750
1921.0,936
1922.0,1386
1923.0,1885
1924.0,2786
1925.0,3983
1926.0,5500
1927.0,7310
1928.0,10300
1929.0,13513
1930.0,18165
1931.0,21947
1932.0,28147
1933.0,34047
1934.0,43170
1935.0,53658
1936.0,66369
1937.0,76462
1938.0,90638
1939.0,105916
1940.0,123528
1941.0,137578
1942.0,160812
1943.0,181918
1944.0,208579
1945.0,222752
1946.0,278391
1947.0,314862
1948.0,332536
1949.0,358235
1950.0,376866
1951.0,388404
1952.0,416802
1953.0,435282
1954.0,468129
1955.0,496174
1956.0,535639
1957.0,520703
1958.0,541187
1959.0,563289
1960.0,597153
1961.0,610654
1962.0,658547
1963.0,700943
1964.0,708496
1965.0,716385
1966.0,749601
1967.0,717835
1968.0,745679
1969.0,748139
1970.0,765836
1971.0,788721
1972.0,779844
1973.0,771510
1974.0,769873
1975.0,761353
1976.0,800307
1977.0,762636
1978.0,768890
1979.0,791501
1980.0,804061
1981.0,823562
1982.0,845296
1983.0,843090
1984.0,842397
1985.0,851608
1986.0,889353
1987.0,857364
1988.0,856094
1989.0,813885
1990.0,772811
1991.0,707037
1992.0,667398
1993.0,653539
1994.0,598450
1995.0,552656
1996.0,491466
1997.0,444784
1998.0,406308
1999.0,414014
2000.0,431350
2001.0,386115
2002.0,331748
2003.0,313089
2004.0,304090
2005.0,282934
2006.0,276404
2007.0,268906
2008.0,252727
2009.0,235070
2010.0,227145
2011.0,210899
2012.0,195652
2013.0,168773
2014.0,178813
2015.0,173201
2016.0,44698
2017.0,7
2018.0,2
2019.0,1
