depdate,count
,3308012
-14388.0,1
-14375.0,1
-14359.0,1
-14342.0,4
-14334.0,3
-14328.0,1
-14321.0,1
-14312.0,3
-14307.0,28
-14283.0,1
-14021.0,1
-14011.0,1
-13977.0,1
-13888.0,1
-12285.0,1
-11972.0,1
-11950.0,1
-6717.0,1
598.0,1
669.0,1
962.0,1
4260.0,1
4264.0,1
4331.0,1
7924.0,1
14979.0,1
14991.0,1
15065.0,1
15176.0,1
15279.0,1
16809.0,1
17032.0,1
17076.0,1
17119.0,1
17122.0,1
17143.0,1
17335.0,1
18289.0,1
18318.0,1
18370.0,1
18415.0,1
18535.0,1
18537.0,1
18545.0,1
18594.0,1
18634.0,1
18688.0,2
18689.0,1
18804.0,1
18831.0,1
18849.0,1
18896.0,1
19020.0,1
19053.0,1
19095.0,5
19097.0,1
19098.0,1
19246.0,1
19391.0,4
19552.0,1
19555.0,1
19602.0,1
19611.0,1
19642.0,1
19676.0,1
19735.0,1
19774.0,1
19814.0,1
19835.0,1
19837.0,1
19860.0,1
19902.0,2
19929.0,1
19937.0,1
19947.0,2
19948.0,1
20028.0,11
20032.0,1
20050.0,3
20054.0,1
20089.0,1
20090.0,1
20092.0,1
20093.0,4
20096.0,2
20098.0,6
20101.0,2
20106.0,1
20110.0,1
20112.0,1
20114.0,6
20117.0,1
20120.0,1
20134.0,4
20135.0,3
20136.0,2
20137.0,1
20142.0,2
20145.0,2
20147.0,1
20150.0,1
20151.0,1
20155.0,1
20157.0,2
20158.0,1
20160.0,4
20162.0,1
20166.0,1
20171.0,1
20173.0,1
20174.0,1
20175.0,2
20176.0,2
20177.0,1
20178.0,1
20179.0,1
20181.0,1
20182.0,1
20183.0,1
20186.0,1
20190.0,1
20194.0,1
20196.0,1
20201.0,1
20203.0,1
20209.0,2
20212.0,6
20218.0,1
20223.0,2
20225.0,1
20226.0,1
20234.0,1
20238.0,1
20239.0,1
20242.0,2
20246.0,1
20254.0,1
20255.0,1
20257.0,1
20260.0,1
20270.0,1
20282.0,1
20285.0,1
20292.0,1
20314.0,1
20322.0,4
20334.0,1
20337.0,2
20338.0,1
20346.0,1
20347.0,2
20354.0,1
20359.0,1
20361.0,1
20362.0,2
20372.0,1
20377.0,2
20383.0,1
20385.0,3
20387.0,2
20399.0,1
20404.0,1
20416.0,1
20417.0,2
20422.0,4
20423.0,2
20425.0,1
20426.0,1
20427.0,1
20428.0,3
20429.0,1
20430.0,2
20431.0,2
20434.0,1
20436.0,1
20437.0,2
20438.0,1
20439.0,1
20441.0,1
20442.0,1
20443.0,4
20445.0,4
20446.0,1
20448.0,1
20449.0,4
20450.0,1
20451.0,1
20452.0,5
20454.0,14
20455.0,4037
20456.0,6976
20457.0,10471
20458.0,15354
20459.0,20868
20460.0,26023
20461.0,36328
20462.0,48057
20463.0,55781
20464.0,46943
20465.0,40266
20466.0,43564
20467.0,55105
20468.0,63624
20469.0,62987
20470.0,60734
20471.0,53083
20472.0,45671
20473.0,52973
20474.0,62098
20475.0,74522
20476.0,67236
20477.0,73296
20478.0,72363
20479.0,59808
20480.0,62249
20481.0,72135
20482.0,81755
20483.0,84477
20484.0,83117
20485.0,71919
20486.0,60642
20487.0,63236
20488.0,72219
20489.0,81644
20490.0,80112
20491.0,76530
20492.0,74539
20493.0,70632
20494.0,76940
20495.0,80848
20496.0,93603
20497.0,100010
20498.0,90433
20499.0,80280
20500.0,70256
20501.0,73903
20502.0,81651
20503.0,94531
20504.0,100864
20505.0,82404
20506.0,67402
20507.0,58131
20508.0,62109
20509.0,74765
20510.0,88325
20511.0,90760
20512.0,89113
20513.0,77384
20514.0,61050
20515.0,61271
20516.0,71795
20517.0,80273
20518.0,88500
20519.0,85294
20520.0,71615
20521.0,64186
20522.0,64223
20523.0,74853
20524.0,80811
20525.0,88069
20526.0,86354
20527.0,76646
20528.0,69099
20529.0,69156
20530.0,74320
20531.0,85364
20532.0,90671
20533.0,93565
20534.0,85237
20535.0,73211
20536.0,73257
20537.0,78120
20538.0,90937
20539.0,110242
20540.0,133320
20541.0,118483
20542.0,99721
20543.0,94245
20544.0,96278
20545.0,100950
20546.0,116759
20547.0,116309
20548.0,99575
20549.0,78460
20550.0,80988
20551.0,92338
20552.0,105099
20553.0,106791
20554.0,104374
20555.0,88339
20556.0,74940
20557.0,71083
20558.0,90687
20559.0,101818
20560.0,102519
20561.0,99661
20562.0,86414
20563.0,74633
20564.0,75816
20565.0,89481
20566.0,98931
20567.0,102996
20568.0,100247
20569.0,90663
20570.0,78224
20571.0,76361
20572.0,92147
20573.0,104286
20574.0,111116
20575.0,108241
20576.0,96728
20577.0,85975
20578.0,84427
20579.0,100888
20580.0,111575
20581.0,120704
20582.0,120811
20583.0,97466
20584.0,87273
20585.0,79970
20586.0,91529
20587.0,99418
20588.0,108100
20589.0,112858
20590.0,100970
20591.0,91713
20592.0,89318
20593.0,102122
20594.0,109895
20595.0,115626
20596.0,114432
20597.0,109275
20598.0,98419
20599.0,95711
20600.0,108200
20601.0,110677
20602.0,119728
20603.0,120527
20604.0,110857
20605.0,98405
20606.0,85906
20607.0,96863
20608.0,101983
20609.0,109109
20610.0,110059
20611.0,101188
20612.0,88323
20613.0,88988
20614.0,99947
20615.0,104461
20616.0,107267
20617.0,107933
20618.0,97835
20619.0,91850
20620.0,90378
20621.0,98797
20622.0,103629
20623.0,106348
20624.0,106036
20625.0,96501
20626.0,87825
20627.0,86313
20628.0,96681
20629.0,101759
20630.0,109846
20631.0,109205
20632.0,99830
20633.0,89973
20634.0,92108
20635.0,105966
20636.0,99184
20637.0,108957
20638.0,103114
20639.0,84518
20640.0,95083
20641.0,94514
20642.0,97312
20643.0,99962
20644.0,113215
20645.0,113815
20646.0,104867
20647.0,97349
20648.0,94882
20649.0,112593
20650.0,118396
20651.0,128390
20652.0,123794
20653.0,111219
20654.0,102317
20655.0,105647
20656.0,113624
20657.0,121042
20658.0,137510
20659.0,129465
20660.0,118988
20661.0,101502
20662.0,116132
20663.0,127858
20664.0,133921
20665.0,147395
20666.0,142939
20667.0,126460
20668.0,116252
20669.0,114658
20670.0,126041
20671.0,131943
20672.0,149968
20673.0,139058
20674.0,129597
20675.0,119585
20676.0,124681
20677.0,129475
20678.0,132978
20679.0,153865
20680.0,154037
20681.0,146386
20682.0,128288
20683.0,124581
20684.0,136110
20685.0,137067
20686.0,160653
20687.0,146892
20688.0,139947
20689.0,123449
20690.0,120626
20691.0,130482
20692.0,134429
20693.0,149151
20694.0,146247
20695.0,137524
20696.0,126116
20697.0,119491
20698.0,110809
20699.0,113262
20700.0,132626
20701.0,123835
20702.0,119972
20703.0,100798
20704.0,96730
20705.0,109832
20706.0,112299
20707.0,128629
20708.0,118588
20709.0,111817
20710.0,93483
20711.0,97502
20712.0,120063
20713.0,124402
20714.0,137863
20715.0,141721
20716.0,121704
20717.0,104011
20718.0,101620
20719.0,114953
20720.0,130886
20721.0,129709
20722.0,124502
20723.0,115159
20724.0,95461
20725.0,99707
20726.0,120144
20727.0,127084
20728.0,125203
20729.0,119174
20730.0,105815
20731.0,91803
20732.0,98760
20733.0,101002
20734.0,112510
20735.0,126969
20736.0,124356
20737.0,120510
20738.0,102465
20739.0,97561
20740.0,107360
20741.0,117910
20742.0,128738
20743.0,122957
20744.0,115414
20745.0,98445
20746.0,95411
20747.0,114116
20748.0,125680
20749.0,129449
20750.0,121939
20751.0,111269
