dtaddto,count
,101551
-00-0000,3
/   183D,1
/184D,1
00000000,40209
01011970,2
01012016,16
01012017,127109
01012018,2977
01012019,3
01012020,2
01012099,1
01022016,11
01022017,121018
01022018,3938
01022019,4
01032016,20
01032017,114356
01032018,2998
01032019,1
01032021,3
01042016,23
01042017,124336
01042018,2035
01042019,1
01052016,25
01052017,139699
01052018,1558
01052019,1
01052021,1
01062016,23
01062017,137528
01062018,1165
01062019,8
01072016,52
01072017,139680
01072018,1022
01082016,49
01082017,120038
01082018,1217
01082019,1
01082185,1
01092016,57
01092017,121911
01092018,1252
01092019,1
01102016,93
01102017,126045
01102018,1083
01102019,1
01102021,1
01112016,333
01112017,132295
01112018,681
01112019,2
01112020,1
01112021,1
01122016,345
01122017,138541
01122018,623
01122019,1
01132016,382
01132017,138147
01132018,512
01132019,2
01132020,1
01142016,560
01142017,140843
01142018,718
01152016,602
01152017,127580
01152018,701
01152019,1
01152024,1
01162016,473
01162017,127972
01162018,781
01162185,1
01172016,927
01172017,132026
01172018,798
01182016,521
01182017,137411
01182018,539
01182019,3
01182185,1
01192016,665
01192017,139985
01192018,545
01192019,2
01202016,837
01202017,133379
01202018,519
01202020,1
01202185,1
01212016,493
01212017,130492
01212018,651
01212021,1
01222016,992
01222017,116063
01222018,508
01232016,617
01232017,113044
01232018,732
01242016,1131
01242017,114606
01242018,784
01242019,4
01252016,714
01252017,122368
01252018,497
01262016,601
01262017,130764
01262018,526
01262185,3
01271993,1
01272016,804
01272017,120620
01272018,607
01272185,1
01282016,759
01282017,118507
01282018,774
01282019,1
01282020,1
01282185,1
01292016,1229
01292017,114744
01292018,848
01302016,1156
01302017,108573
01302018,832
01312016,1184
01312017,110607
01312018,676
01312021,1
02012016,1313
02012017,106262
02012018,482
02012020,1
02022016,1129
02022017,114163
02022018,467
02022020,1
02032016,1222
02032017,114786
02032018,581
02032019,1
02042016,1095
02042017,121426
02042018,675
02042019,2
02052016,1309
02052017,104687
02052018,684
02052019,1
02062016,1458
02062017,101073
02062018,795
02062025,1
02072016,1420
02072017,105946
02072018,647
02072019,1
02082016,1158
02082017,111920
02082018,454
02082019,1
02082020,1
02092016,1372
02092017,114917
02092018,537
02092020,1
02102016,1055
02102017,114792
02102018,583
02102019,1
02102021,1
02112016,1091
02112017,118474
02112018,637
02112019,2
02122016,1658
02122017,101173
02122018,575
02122019,2
02132016,1458
02132017,96492
02132018,729
02132019,3
02132020,1
02142016,4692
02142017,87889
02142018,930
02142020,1
02152016,5106
02152017,97678
02152018,580
02152021,2
02162016,5615
02162017,93245
02162018,513
02172016,4943
