fltno,count
,333922
-,1
-PF10,3
-XCHI,2
-XCNP,6
-XCPF,41
0 111,2
0 178,1
0 188,2
0 294,1
0 301,2
0 314,1
0 336,1
0 608,1
0 612,1
0 622,1
0 874,2
0 941,1
00,2
00 20,1
00 71,1
000,6
0000,2
00000,38
00001,277181
00002,171642
00003,178128
00004,79819
00005,158119
00006,276803
00007,192065
00008,192210
00009,76193
0000L,2
00010,122486
00011,176260
00012,134472
00013,123
00014,26420
00015,150617
00016,85417
00017,80471
00018,127392
00019,82542
0001C,741
00020,42517
00021,62741
00022,68629
00023,85043
00024,9594
00025,46282
00026,155277
00027,96887
00028,87837
00029,20940
0002B,77
0002C,148
00030,28291
00031,58216
00032,46670
00033,48614
00034,30451
00035,43143
00036,29281
00037,74118
00038,54137
00039,56084
0003C,153
00040,70779
00041,47604
00042,7146
00043,109135
00044,98
00045,59119
00046,8052
00047,47219
00048,1735
00049,95085
0004A,1
0004C,72
00050,12718
00051,23325
00052,40018
00053,92871
00054,32413
00055,24657
00056,20149
00057,45062
00058,2215
00059,37911
0005C,331
00060,72599
00061,7128
00062,53737
00063,25175
00064,37845
00065,34859
00066,109795
00067,39656
00068,986
00069,36382
0006C,297
00070,18354
00071,64323
00072,41619
00073,100092
00074,48
00075,122025
00076,31799
00077,60143
00078,19005
00079,43119
0007C,413
00080,85435
00081,81795
00082,7785
00083,25003
00084,56024
00085,76212
00086,19192
00087,78691
00088,34542
00089,20148
0008A,2
0008C,214
00090,70920
00091,51690
00092,328
00093,109102
00094,1384
00095,30633
00096,6318
00097,61956
00098,27
00099,41915
0009C,138
000AM,1
000AZ,1
000DL,1
000GM,2
000JD,1
000JM,4
000ZZ,1
00100,64610
00101,119176
00102,76473
00103,79271
00104,113015
00105,67448
00106,75258
00107,63043
00108,1874
00109,99350
0010B,128
0010C,28
00110,50326
00111,115587
00112,14799
00113,141264
00114,25351
00115,54897
00116,12256
00117,92908
00118,355
00119,11028
0011C,348
00120,2617
00121,41869
00122,6162
00123,28258
00124,10176
00125,40965
00126,20674
00127,40710
00128,71253
00129,713
0012C,200
00130,13696
00131,57352
00132,6932
00133,9031
00134,91
00135,71585
00136,47358
00137,44054
00138,29689
00139,25914
00140,565
00141,17123
00142,24422
00143,29551
00144,16021
00145,16053
00146,17801
00147,24680
00148,28040
00149,24013
0014C,64
00150,50515
00151,30581
00152,2972
00153,1382
00154,21198
00155,598
00156,7857
00157,47
00158,33969
00159,13
0015C,236
00160,9334
00161,31340
00162,19210
00163,15705
00164,4699
00165,7625
00166,52754
00167,926
00168,922
00169,2425
0016C,137
00170,40043
00171,26062
00172,76915
00173,65889
00174,23278
00175,48288
00176,26525
00177,48134
00178,46222
00179,50921
0017C,42
00180,15591
00181,2966
00182,94411
00183,55095
00184,51573
00185,30376
00186,127795
00187,29
00188,26316
00189,25746
0018C,30
00190,1508
00191,40866
00192,7331
00193,31516
00194,1452
00195,23146
00196,36021
00197,45148
00198,16767
00199,45154
0019C,164
001Y6,2
00200,18108
00201,75963
00202,64931
00203,98395
00204,30234
00205,61281
00206,7716
00207,114658
00208,16356
00209,90599
0020C,10
00210,9631
00211,61047
00212,39676
00213,36579
00214,20866
00215,74245
00216,38600
00217,65207
00218,1340
00219,73975
0021C,34
0021V,7
00220,2450
00221,60641
00222,56075
00223,923
00224,11
00225,40545
00226,33419
00227,45793
00228,10633
00229,70982
0022C,75
00230,4041
00231,50270
00232,38250
00233,4701
