i94addr,count
,2027926
**,4
..,254
.7,1
.9,3
.A,5
.C,206
.D,14
.F,4
.H,7
.I,27
.K,2
.L,4
.M,11
.N,36
.O,3
.S,7
.T,56
.V,5
.W,1
/,1
0,230
00,30
01,1
02,11
03,6
04,4
06,8
07,16
08,9
1,8
10,89
11,56
12,13
13,5
14,8
15,1
16,2
17,6
18,14
19,9
2,20
20,33
21,9
22,7
23,9
26,3
27,9
28,4
29,5
3,3
30,11
31,1
32,27
33,67
34,31
35,6
36,3
37,6
38,5
3F,3
3H,1
3M,1
3R,1
40,6
41,2
43,7
44,9
45,3
46,3
48,4
49,3
4B,2
5,2
50,10
51,2
52,4
53,6
54,1
55,6
57,1
58,1
6,4
60,48
61,3
62,1
63,2
64,3
65,6
67,1
68,1
7,1
70,15
71,1
72,2
73,2
74,1
75,1
76,1
77,18
78,8
79,5
8,2
80,10
81,3
82,2
83,1
84,3
85,7
87,1
89,16
8T,4
9,1
90,56
91,11
92,19
93,4
94,24
95,8
96,4
97,2
98,4
99,2376
A,68
AA,1963
AB,114
AC,40
AD,17
AE,267
AF,14
AG,24
AH,2
AI,40
AJ,3
AK,79539
AL,100932
AM,54
AN,1074
AO,4
AP,181
AQ,38
AR,41623
AS,148
AT,607
AU,411
AV,46
AW,5
AX,10
AY,4
AZ,271530
B,7
B2,2
B3,3
B6,3
B7,7
B9,7
BA,234
BB,5
BC,654
BD,7
BE,205
BF,1
BG,3
BH,49
BI,16
BJ,118
BK,1
BL,37
BM,1
BN,63
BO,1170
BQ,331
BR,534
BS,68
BT,9
BU,122
BV,18
BW,30
BX,1
BY,36
BZ,9
C,94
C0,3
CA,6531491
CB,3
CC,27
CD,104
CE,45
CF,54
CG,7
CH,889
CI,181
CK,1
CL,587
CM,13
CN,321
CO,331325
CP,9
CQ,367
CR,62
CS,33
CT,196166
CU,279
CV,43
CW,5
CX,12
CY,8
CZ,22
D,27
D.,2
DA,429
DB,7
DC,354238
DD,8
DE,40636
DF,1096
