i94port,count
48Y,2
5KE,58
5T6,161
74S,1
ABE,2
ABG,527
ABQ,61
ABS,264
ACY,5
ADS,388
ADT,124
ADW,505
AFW,19
AGA,1337940
AGM,2
AGN,163
AGU,12
ALB,49
ALC,3976
ANA,2
ANC,23388
AND,912
ANP,6
ANT,25
ANZ,10650
APA,2
APF,133
ARB,4
ASI,1
ATL,1141425
ATW,30
AUH,92
AUS,33628
AXB,5343
BAL,44363
BAU,58
BDL,189
BEB,168
BED,480
BEE,163
BEL,15
BGM,12109
BHX,44
BKF,1
BLA,225675
BLI,45
BOA,5040
BOC,1
BOS,952631
BQN,556
BRG,111
BRO,8306
BTN,27
BUF,15600
BWA,159
BWM,102
BZN,123
CAE,16
CAK,4
CAL,7786
CHA,8908
CHF,2914
CHI,1798697
CHL,209
CHM,103864
CHR,3727
CHS,854
CHT,250
CIN,18721
CLA,1
CLE,5178
CLG,3611
CLM,3835
CLS,5256
CLT,189836
CNA,810
CNC,13
COB,1415
COL,224
COO,3
CPX,5
CRA,1
CRP,148
CRQ,199
CRY,77
CTB,7
CXO,100
DAB,77
DAC,1137
DAL,985129
DAY,1
DEN,201942
DER,22107
DET,492454
DLB,336
DLR,717
DNA,563
DNS,694
DOU,884
DOV,23
DPA,36
DSM,22
DUB,24619
DUL,45
DVL,144
EDA,700
EGP,821
ELP,3786
EPI,3738
ERC,37
ERI,19
FAB,32
FAJ,68
FAL,78
FAR,77
FBA,6
FCA,8
FER,232
FMY,50088
FOK,222
FPF,26
FPR,291
FPT,146
FRB,3479
FRE,96
FRI,13
FRT,264
FTC,161
FTF,121
FTH,1
FTK,97
FTL,995509
FWA,809
GAC,73
GAL,181
GMT,1
GPM,1228
GPT,1
GRB,32
GRF,33
GRP,13
GRR,3
GSP,143
GUL,35
HAL,397
HAM,5310
HAR,3443
HEF,12
HEL,23
HHW,2249967
HID,5234
HIG,40357
HIO,12
HLG,70
HML,17
HNN,2
HNS,175
HOM,1
HOU,1347272
HPN,1568
HSV,7
HTM,4246
HVR,259
ICT,124
INP,2350
INT,673
IWA,11
JAC,418
JFA,55
JKM,2682
JMZ,7003
JUN,42
KAN,1713
KET,221
KEY,2253
KOA,5814
LAN,286
LAR,6588
LAU,260
LCB,2209
LEE,8
LEW,54189
LEX,85
LIH,2487
LIM,27
LLB,11476
LNB,6281
LOI,1637
LON,5
LOS,4602847
LOU,29
LSE,8
LUB,160
LUK,1183
LVG,838319
LWT,8
LYN,13750
MAA,23441
MAD,221
MAF,523
MAI,36
MAS,1922
MAY,4
MCA,9944
MDT,546
MEM,186
MET,532
MGM,13
MHT,34
MIA,5122889
MIL,1357
MLB,2155
MMU,177
MND,26
MOB,553
MON,6638
MOO,300
MOR,218
MRC,395
MTH,27
MWH,18
MYR,23
NAC,155
NAS,13616
NC8,3
NCA,86712
NEC,183
NEW,1867734
NIA,128399
NIG,44
NOG,5095
NOL,24404
NOO,119
NOR,1178
NRG,151
NRN,290
NRT,609
NSV,3262
NWH,2
NYC,6678555
NYL,78
OAK,55641
OCA,1
OGD,3984
OGG,17877
OGS,13
OKC,24
OMA,52
ONT,15513
OPF,14766
ORL,1698944
ORO,3296
OTM,35139
OTS,1
OTT,941
PAN,1
PAR,122
PAS,30
PBB,90184
PCF,77
PCW,13
PDN,3160
PEM,13438
PEN,84
PER,1
PEV,20134
PFN,1
PGR,553
PHF,7
PHI,335631
PHO,149884
PHR,3414
PHU,34648
PIE,4444
PIN,26
PIR,2800
PIT,9411
PKC,8
PNG,7
PNH,49
POM,2288
PON,22
POO,74614
POR,2414
PRE,379
PRO,227
PSE,14
PSM,189
PSP,19282
PTK,171
PTL,732
PVD,5768
RAY,618
RCM,46
RDU,26864
REN,59
RFD,17
RGM,1
RIF,557
RIO,61
RIV,4
RME,6
RNO,5686
ROC,1238
ROG,13
ROM,298
ROO,4608
ROS,175
ROU,1253
RST,228
RYY,29
SAA,2704
SAC,37159
SAG,2
SAI,540417
SAJ,156700
SAR,1
SAS,5
SAU,1
SAV,340
SCH,1
SCO,2
SDP,117915
SDY,19
SEA,626232
SFB,133219
SFR,2309621
SGJ,91
SGR,407
SHA,6126
SHR,80
SJO,56
SKA,3497
SLC,73425
SLU,591
SNA,115902
SNJ,107188
SNN,7
SPA,4
SPC,59
SPE,798
SPM,167254
SPO,58
SRQ,4340
SSM,2872
STL,2075
STR,1984
STT,23593
SUM,15190
SUS,32
SWE,7929
SWF,62
SYR,1104
SYS,58747
TAM,153696
TEC,2278
THO,19831
TIW,7
TKI,26
TOL,1
TOR,25770
TRO,380
TST,60
TUC,8286
TUR,201
UGN,8
VCB,60
VCV,34974
VIB,1314
VIC,14468
VNB,156
VNY,314
VQS,10
W55,566
WAL,355
WAR,250
WAS,1067361
WBE,718
WCM,7
WHM,4
WHO,98
WIL,283
WIN,388
WLL,27
WND,5
WPB,48922
WRB,11
WRI,21
X44,210
X96,29914
XXX,109800
Y62,13
YGF,2688
YHC,99059
YIP,32
YSL,5494
YUM,1
