insnum,count
,35678095
',5
'2868,1
'3884,1
.3434,1
.3890,1
/3685,1
0,6
000078,2784
00037,132
0004,53
00041,35
00058,11
0007,4
00076,11
00081,140
00083,2
000861,1
0009,7
00091,2742
000923,2
00093,102
00110,1
00111,156
0012,1
00129,107
00136,1238
00138,681
00146,2
0015,7
00150,380
00159,1
00165,7
00167,6
0019,25
00192,547
00194,29
00195,1
001991,1
00203,1
00209,1
0022,5
00220,42
00221,969
00231,17
00233,5
00236,3077
00239,210
0024,9
00240,478
00249,1033
00251,2
00255,29
00258,102
00261,12
0027,9
00272,6
00277,2187
00278,35
00279,3
002817,21
00285,3
0029,4
00292,8
00300,16
00304,22
00307,12
0031,43
00315,1
00319,2
00320,501
00342,4
00345,29
0035,1
00354,12
00383,1843
00388,3
00406,33
00407,301
0041,21
0042,3
00420,2415
00423,373
00427,3016
00428,1134
00430,2060
0044,1
00441,796
0045,32
00456,382
00460,149
0048,2
0049,1
00501,37
00504,183
00516,118
00518,158
0052,22
00541,14
005519,20
0057,29
00598,285
00599,5
0061,2
006148,1
00615,11
00621,68
00631,954
00635,60
00636,20
00639,2
00687,1
00695,21
00696,1
00701,5
00706,24
00725,50
00728,45
00737,3
00744,4
0075,21
00759,21
00761,5
00762,2058
00767,1
00772,3
00778,171
00783,336
007845,594
00788,8
00795,7
0080,1
00800,48
00816,6
00822,3
00825,5
00826,1701
00831,7
00833,1
00841,4
00850,7
00861,11
00872,4
00885,3
00886,4
00896,9
009000,458
00905,9
0091,1
00911,275
00916,1
00921,2
00923,19
00936,4
00945,2
00948,3
00954,6
00959,1
00976,1
00992,11
00997,9
01000,1110
01003,273
01009,6
010117,1
01015,554
010192,105
01023,129
01027,857
01028,27
01029,1596
01040,30
010417,2
01048,15
010517,3
01055,3
01058,106
01064,34
01066,871
01067,114
01068,243
010717,1
010719,1
01072,251
01073,3
01080,5
01085,796
01096,835
01103,2
01108,164
011116,1
01116,21
01119,12
01120,311
01121,4
011217,1
01123,3
01125,1467
011817,1
011917,1
01207,150
01231,25
012316,1
01235,385
01239,186
0124,1
012417,2
01251,1
012517,1
01252,1
01261,35
012717,1
01277,2
01287,11
01290,29
013017,1
0131,1
013117,1
01315,28
01332,624
01338,307
01343,9
01349,5
01367,53
01375,2
0140,1
01403,1
01404,316
01411,7
01417,6
01426,1
01435,1105
01437,362
01438,2
01452,470
01454,1583
01499,1
0150,1
01513,2
01543,1162
01558,8
015589,4
01574,812
015847,2
01602,2
01622,9
01627,6
01645,12
01649,1
01664,27
01665,3
01687,6
01695,39
01716,3
01722,2
01742,1179
01747,561
01753,1
0177,2
01777,1458
01787,515
0179,6
01794,2472
01799,5176
0180,16
0182,1
01833,9
018880,722
01891,1022
01896,759
01906,283
01916,107
01936,194
0194,9
01951,147
01958,4
0197,1
01992,1
02000,366
020069,145
02007,1002
02008,47
02028,18
02034,2
02036,200
020417,2
02042,1829
02044,34
02046,654
02049,83
02052,138
02060,4
02071,179
020816,1
020817,2
02089,2484
02092,696
0210,1
02101,135
02104,2
0211,2
02114,28
0212,7
021217,2
0213,1
021316,1
021317,1
0214,1
021417,2
02144,2995
02149,15
02158,8
02166,1431
0217,1
0218,1
02180,4
021816,1
02184,1
0219,2
021916,1
02206,7
0221,1
022117,1
02228,225
02232,153
02247,17
02253,80
02257,2
02264,257
02267,879
02269,405
02274,3
02276,30
02281,15
022816,1
02283,928
02290,14
02291,1534
02305,57
02313,5
0232,1
02324,1119
02335,1
02346,21
02349,1296
0237,4
0238,15
02380,906
02381,20
0240,1
02401,10
02407,50
0241,9
02415,2965
0242,2
02429,20
02442,1719
02445,10
02469,40
02481,119
02485,2
02495,24
02514,156
02522,4
02527,762
02532,6
02538,11
02555,2333
02583,48
02584,88
02591,77
02596,2034
02601,300
02609,6
02616,12
0263,1
02634,3
02647,172
02654,35
02662,207
0267,1
02670,16
02689,95
02690,2
02695,6
02696,211
0270,3
02708,522
0271,1
02710,233
02726,661
02732,531
02733,3
02735,80
02742,9
02744,77
02745,3
02746,1
0275,7
02753,276
02754,43
02763,31
0277,4
02770,6
02777,58
02779,315
02782,260
02787,518
02789,163
02792,122
02796,216
02802,718
02805,3
02813,2895
02819,74
02826,69
02827,562
0283,7
02834,1
02841,13
02852,223
02868,14
02869,7
02878,3576
02890,167
02896,726
02899,217
02901,68
0291,1
02910,1
02911,1199
02912,179
02930,12
02932,2
02935,31
02936,1
02939,12
02943,3942
02946,90
02949,452
02951,4
02962,266
02976,30
02978,6
02980,1
02991,38
02999,611
03,1
03000,469
03006,74
03019,2
03031,1008
03034,235
030416,1
03048,111
03052,183
03053,620
03056,182
03059,238
03061,132
03062,1445
03069,40
03070,531
03073,6
03078,131
03082,2
03084,752
03085,160
03087,2
03113,214
03118,88
03127,470
03130,23
031416,1
03150,98
03157,715
03161,107
0317,1079
03190,244
031916,1
03204,167
03208,45
03211,52
03212,1461
03215,132
03221,233
03224,333
03226,118
03241,140
03245,136
03252,80
03257,6
03260,286
03261,565
032616,1
03267,73
03284,4920
03296,360
03297,179
03300,4
03310,10
033116,1
03315,177
03326,143
03341,1
03347,995
03353,41
03356,1296
03358,64
0336,2
03365,710
03369,373
03372,90
03397,7
03399,32
03400,247
03403,29
03404,239
03406,35
03408,4
0341,1
03418,2
03419,1068
03422,45
03433,526
03435,1
03439,137
03454,5
03457,16
03459,904
03469,762
03478,18
03480,149
03491,11
03494,78
03496,575
03501,1915
03508,263
03511,88
03516,481
03517,129
03518,2181
03519,1
03522,1735
03531,299
03537,267
03542,128
03548,966
03551,122
03558,223
03564,61
03565,21
03568,82
03585,3
03587,22
03588,270
03590,210
03610,18
03615,8
03617,9
03622,206
03630,39
03632,28
03647,142
03648,6
03650,100
03651,299
03653,252
03659,651
03660,12
03663,1
03666,1
03668,42
03671,216
03673,2
03680,424
03687,236
03689,1
03694,166
03701,1
03704,29
03716,1
03726,298
0373,1
03734,22
03739,397
03747,7
03749,8
03766,5
03769,5
03771,2
03792,2326
03807,179
03816,1
03831,8
03873,1
03879,2237
03880,1
03882,3
03884,1
03885,1
03892,1
03893,2
03906,1
03911,38
03930,1
03931,1
03947,89
03951,5012
03955,28
03962,34
03964,4
03974,1
03978,1
03980,1
03983,3
03990,1
04,1
04002,19
04010,18
040116,1
04017,23
04028,795
040316,1
04039,261
04044,176
04054,86
04055,172
04056,1816
04058,51
04059,22
04069,1930
040716,1
04082,4
04088,874
041016,1
04104,1822
041216,1
04124,63
04148,1
04153,7
04157,916
04158,4
04162,35
04166,758
04170,9
04171,25
041717,1
04185,2
04190,470
04202,196
04221,1271
04224,42
04227,914
04232,2
04239,620
04240,436
04247,3
04258,2103
042716,1
042817,1
04285,2
04290,1
04298,609
04306,43
04308,41
04313,222
04314,348
04324,560
04326,117
04327,6
04346,1002
04348,37
04353,1083
04362,236
04366,63
04371,162
04372,229
04375,1
04380,151
04384,1
04395,1287
04397,2339
04398,88
0440,1
04418,23
04437,3465
04448,5
04449,796
04450,121
04459,307
04471,732
04476,4
04488,145
04503,1
04508,15
04516,103
04517,444
04522,38
04524,2
04527,1125
04528,2201
04529,7
04530,689
04540,2
04549,391
04552,39
04559,2
04560,8
04570,487
04574,322
04578,14
04596,124
0460,5
04608,1
04621,35
04632,17
04634,4
04640,27
04648,1
04653,149
04663,7
04675,19
04686,2
04689,1
04692,327
04693,52
04698,55
04705,7
04712,1
04720,1
04723,47
04724,28
04731,1
04733,1500
04737,80
04751,1
04758,47
04784,8
04786,12
04790,14
04791,8
04792,22
04794.,13
04797,20
04798,25
04799,165
04800,18
04805,10
04806,46
04809,2
04814,8
04817,8
04821,321
04827,7
04829,747
04837,1
04843,363
04858,25
04862,48
04863,4
04882,27
04888,2
04894,7
04895,55
04900,30
04906,66
04907,16
04909,44
04920,6
04923,24
04930,49
04933,131
04938,1
0494,1
04940,368
04942,200
04954,5
04960,2400
04967,565
04977,1243
04979,2
04990,12
04996,115
04999,1
05004,2141
05015,3
0503,14
05030,1066
05034,143
05047,889
05055,9
05059,11
05076,1
05080,139
05082,594
05094,847
05119,369
05127,751
05128,17
05140,1
05148,141
05153,1440
05155,125
05160,3
051616,1
05166,14
05182,143
05188,8
05191,4
051916,1
05198,23
052016,1
05204,40
05207,3
05210,247
05228,378
05229,12
05230,1
05231,19
052316,1
05232,6
05233,16
05234,28
05240,19
05244,1
05254,1
0528,1
052816,1
05285,12
05286,2
05289,755
05297,107
05301,79
05305,1
05311,10
05316,1
05319,14
05320,78
05325,86
05326,8
05329,4
05333,23
05341,2
05345,6
05351,176
05353,95
05354,207
05358,14
05361,68
05367,34
05370,6
05379,501
05381,11
05391,37
05398,162
05399,11
05402,8
05404,6
05405,9
05407,7
05410,4
05414,31
05415,2
05416,5
05418,4
05422,173
05428,50
05431,16
05446,2
05457,275
05467,7
05480,5
05481,2706
05485,1
05487,411
05493,17
05496,2234
05497,6
05500,7
05501,1
05509,8
05513,28
05515,7
05520,1356
05525,69
05527,108
05532,1
05533,25
05536,252
05542,1
05544,7
05550,8
05551,506
05553,6
05555,10
05557,3
05561,81
05578,12
05583,3
05588,20
0560,266
05600,94
05603,26
05606,4
05607,34
05616,3
05619,17
05645,1310
05649,151
05654,25
05655,7018
05660,2
05662,1
05672,7
05673,3
05706,433
05713,469
05714,4
05718,3984
05722,3
05723,8
05727,1
05732,5
05733,9
05745,9
05750,27
05756,1
0576,1
05767,1536
05775,3
05786,187
05787,12
05792,3
05793,4
05796,1
05799,1
05801,4
0581,84
0584,7
05845,46
05869,23
0587,1
05870,148
05877,4
05881,1
05890,2
05907,1371
05911,2041
05923,8
05929,4
05953,16
05977,4
05979,59
05983,1
05997,1
060,1
06021,1
06023,389
06036,1
06037,1
06048,1
06058,9
06060,3
060617,1
06065,1
06071,20
06076,1
06097,1
06122,374
06125,1226
06130,2
06134,2
06135,3
06142,280
06149,46
061516,1
06161,2
06164,1
061716,1
06176,1
0618,2
06181,258
06193,57
06194,11
06225,2011
06228,8
062316,1
06238,6
06248,4
06256,12
06267,98
062916,1
0630,2
06317,1
06322,10
06328,4
06329,145
0633,1
06337,8
