visapost,count
,24032175
999,8823
ABD,45618
ABG,598
ABJ,6025
ABS,121
ABU,43207
ACC,16622
ACK,16054
ADA,31
ADD,16650
ADL,6
ADN,3
ADT,3
AGA,1166
AKD,1099
ALB,19
ALC,10
ALG,7444
ALP,4
ALX,7
AMB,41
AMM,24310
AMS,23333
ANC,38
AND,9
ANK,41587
ANT,739
AON,2
APA,197
APC,1
ARE,56
ASC,13
ASM,1773
ASN,30455
AST,6394
ATA,9770
ATF,5
ATH,15591
ATL,635
ATW,2
AUC,179
BAL,309
BAM,2386
BAN,1316
BAR,2
BAT,17
BBH,10
BCH,50782
BDA,33
BDP,8067
BDT,3959
BEB,127
BEE,6
BEI,957
BEJ,587594
BEL,73
BEN,36882
BER,147
BET,126
BFP,1399
BGD,9
BGH,2123
BGI,28
BGM,47
BGN,116030
BGT,728470
BIS,9
BKK,2304
BKU,5701
BLA,48
BLB,10
BLF,8017
BLG,19062
BLM,65
BLZ,21869
BMB,290801
BNG,363
BNH,12
BNK,84609
BNN,32
BNS,769168
BOG,608
BOI,44
BOM,435
BOR,1
BOS,1062
BRA,150524
BRC,16
BRD,19
BRE,1
BRF,1330
BRI,384
BRL,22857
BRN,497
BRO,88
BRR,11
BRS,15455
BRT,26186
BRU,37
BRV,1
BRZ,875
BSB,892
BSR,6
BTN,27
BTS,3958
BUC,165
BUD,17
BUE,1054
BUF,133
BUJ,897
BUK,21
BUR,5
BWA,6
BWN,17
CAI,1
CAL,540
CAN,39
CAO,32
CAR,537
CAS,21
CBU,3
CCH,25
CDJ,68221
CEB,5
CHE,115739
CHG,3
CHI,306
CHL,27
CHM,113
CHN,4686
CHR,21
CHS,7485
CHT,1
CIN,7
CJT,133
CLA,20
CLB,216
CLC,37980
CLE,2
CLG,29204
CLI,10
CLM,14969
CLS,12
CNA,1
CNB,3
CNT,3
COB,32
COL,96
CON,5
COP,49
COT,1525
COW,2
CPC,36
CPN,13726
CPT,22250
CRC,5361
CRO,48438
CRS,520347
CRU,13
CRY,1440
CSB,21968
CTB,10
CUR,10
CUS,163
DAC,1266
DAK,3
DAL,303
DAV,2
DBL,17255
DCC,63
DEN,393
DER,10
DET,313
DHA,9
DHB,1360
DHK,23369
DHR,50123
DIL,3
DJI,940
DKR,5482
DLS,127
DMS,51
DNS,8
DOH,36940
DOU,2
DPT,3159
DRB,10448
DRS,4972
DSS,13
DST,5
DUB,74685
DUL,2
DUR,112
EBL,133
EDA,10
EDN,4
EGP,15
ELP,96
ELY,2
EMP,2
ENU,7
EPI,12
ERB,2873
ESC,6
EST,4
FAB,345
FBA,871
FER,1
FKK,3
FKT,171
FLL,860
FLO,105
FLR,6537
FOR,7
FRN,80953
FRT,25
FSI,2
FTC,3
FTF,1
FTH,1
FTK,1
FTN,1748
FUK,75
FWA,4
GAB,2820
GAC,2
GAL,27
GDL,402754
GEN,36
GEO,41407
GNG,275
GPM,11
GRB,6
GTB,338
GTM,232022
GTW,26
GUA,247
GUJ,457
GUL,154
GUQ,256
GUZ,820967
GVA,24
GYQ,206800
HAG,346
HAI,2
HAL,1
HAM,2
HAN,23428
HAR,6
HAV,43929
HBN,14
HCM,70390
HEL,45
HER,32010
HFL,5
HHW,127
HID,23
HIG,50
HKC,2171
HKG,280
HLF,5387
HLG,1
HLS,5807
HMB,28
HML,20454
